absorcion max teorico,absorcion en cm-1 teorico,energia del estado excitado teorico,Fueza del oscilador teorico,Dureza quimica teorico,Electrofilicidad teorico,Poder electrodonador teorico,Poder electroaceptor teorico,HOMO teorico,LUMO teorico,energia de exitacion teorico,inyeccion teorico,Voc teorico,regeneracion teorico,recombinacion teorico,Gap teorico,Energia de enlace del exciton teorico,Tiempo de vida del estado excitado teorico,Eficiencia de recoleccion de luz teorico,Eficiencia experimental
557.4,17.9,2.22,1.2829,4.298830182,2.034938302,6.429947069,2.247159914,-5.444184798,-3.031622074,-3.224184798,0.715815202,0.908377926,0.604184798,1.504184798,2.412562724,0.192562724,3644.483431,0.947868527,0.94
469.2,21.3,2.64,1.1063,4.274448765,1.686958241,5.539860799,1.74227826,-5.102409614,-2.551612978,-2.462409614,1.477590386,1.388387022,0.242409614,1.162409614,2.550796636,-0.089203364,2.986548099,0.921711134,7.96
552.9,18.1,2.24,0.6439,4.055097648,1.874206511,5.951227088,2.05248616,-5.084177976,-2.809032822,-2.844177976,1.095822024,1.130967178,0.224177976,1.144177976,2.275145154,0.035145154,7.106013987,0.772961243,4.12
412.2,24.3,3.01,1.1554,4.333116549,1.676637824,5.530016089,1.718174775,-5.13751232,-2.647124992,-2.12751232,1.87248768,1.352875008,0.53751232,1.13751232,2.490387328,-0.519612672,2.197134899,0.930080229,6.5
390.3,25.6,3.18,0.8299,6.022917443,1.2745054,4.884555286,0.966330993,-5.812627154,-2.177728342,-2.632627154,1.307372846,1.762271658,0.972627154,1.872627154,3.634898812,0.454898812,2.756106134,0.8520551,2.23
402.3,24.9,3.08,1.0427,5.344156215,1.301581018,4.802091676,1.072251924,-5.494798002,-2.219906012,-2.414798002,1.525201998,1.720093988,0.654798002,1.554798002,3.27489199,0.19489199,2.318694678,0.909364153,3.13
402.1,24.9,3.08,1.1559,5.300155377,1.339670949,4.894807566,1.126395651,-5.517927692,-2.235960738,-2.437927692,1.502072308,1.704039262,0.677927692,1.577927692,3.281966954,0.201966954,2.091619466,0.93016068,1.21
452.7,22.1,2.74,1.105,4.740063076,1.524815607,5.246900958,1.444869355,-5.257514594,-2.426440538,-2.517514594,1.422485406,1.513559462,0.417514594,1.317514594,2.831074056,0.091074056,2.777504732,0.921476437,5.56
414,24.2,3,1.5973,4.723300852,2.004593806,6.480204066,2.128583763,-5.924193894,-2.81093762,-2.924193894,1.075806106,1.18906238,1.124193894,1.924193894,3.113256274,0.113256274,1.602449711,0.974724486,2.97
415.9,24,2.98,1.4553,4.712307445,2.051885898,6.597053981,2.199528041,-5.965010994,-2.853387404,-2.985010994,1.014989006,1.146612596,1.165010994,1.965010994,3.11162359,0.13162359,1.788243356,0.964949033,1.98
532.6,18.8,2.33,1.1568,3.852127796,1.897503355,5.947494988,2.124034405,-4.969617982,-2.765222468,-2.639617982,1.360382018,1.234777532,0.169617982,0.969617982,2.204395514,-0.125604486,3.666297092,0.93030526,3.81
526.1,19,2.36,1.0905,4.381906594,2.073202961,6.55154017,2.28901,-5.54840446,-3.099106346,-3.18840446,0.75159554,0.840893654,0.70840446,1.60840446,2.449298114,0.089298114,3.80775293,0.918810475,2.4
486.1,20.6,2.55,0.8075,4.656034265,1.871506515,6.121333842,1.946696502,-5.53615933,-2.88849011,-2.98615933,0.95384067,1.05150989,0.69615933,1.59615933,2.64766922,0.09766922,4.374462129,0.844224197,4.23
492.6,20.3,2.52,0.8701,4.626346624,1.865206332,6.096707737,1.942410921,-5.502417194,-2.875972866,-2.982417194,0.957582806,1.064027134,0.662417194,1.562417194,2.626444328,0.106444328,4.180617059,0.865134769,5.45
495.2,20.2,2.5,0.8465,4.624659517,1.86630234,6.099025605,1.944266195,-5.495070116,-2.878421892,-2.995070116,0.944929884,1.061578108,0.655070116,1.555070116,2.616648224,0.116648224,4.339822144,0.857603275,6.11
350,28.6,3.54,0.7238,5.471451157,1.162951138,4.451548207,0.88418774,-5.295066326,-2.046841508,-1.755066326,2.444933674,2.153158492,0.095066326,1.095066326,3.248224818,-0.291775182,2.531925879,0.8111139,5.31
459.8,21.7,2.7,0.2358,4.50307897,1.475266328,5.054506405,1.409443778,-5.095606764,-2.136367014,-2.395606764,1.804393236,2.063632986,-0.104393236,0.895606764,2.95923975,0.25923975,13.50014286,0.418968069,4.7
490.9,20.4,2.53,0.7598,4.632333133,1.889736212,6.161107924,1.976878565,-5.528812252,-2.912708256,-2.998812252,1.001187748,1.087291744,0.728812252,1.528812252,2.616103996,0.086103996,4.74069493,0.82613987,3.1
492.2,20.3,2.52,0.8706,4.654347158,1.853511675,6.074803145,1.921036951,-5.516567122,-2.85855757,-2.996567122,1.003432878,1.14144243,0.716567122,1.516567122,2.658009552,0.138009552,4.178216061,0.865289949,4.02
514.9,19.4,2.41,0.998,4.63091814,1.472007575,5.079625556,1.387269511,-5.098872132,-2.481951794,-2.688872132,1.251127868,1.458048206,0.258872132,1.158872132,2.616920338,0.206920338,3.990870464,0.899538421,6.67
483.4,20.7,2.56,1.1203,4.152623315,1.739921687,5.640071595,1.838693066,-5.169621772,-2.45582885,-2.609621772,1.390378228,1.54417115,0.369621772,1.169621772,2.713792922,0.153792922,3.122673703,0.924194625,4.8
482.4,20.7,2.57,1.3373,4.162637111,1.765207772,5.707337961,1.873822765,-5.19873797,-2.486849846,-2.62873797,1.37126203,1.513150154,0.39873797,1.19873797,2.711888124,0.141888124,2.615966013,0.954006125,5.05
481.2,20.8,2.58,1.4259,4.157875116,1.80132469,5.797675884,1.927357265,-5.233568562,-2.535830366,-2.653568562,1.346431438,1.464169634,0.433568562,1.233568562,2.697738196,0.117738196,2.429885973,0.962494065,5.01
472.7,21.2,2.62,1.5906,4.187453911,1.819910677,5.8535608,1.949513648,-5.279283714,-2.515149702,-2.659283714,1.340716286,1.484850298,0.479283714,1.279283714,2.764134012,0.144134012,2.096857575,0.974331529,4.75
473.2,21.1,2.62,1.4457,4.034716308,1.863861052,5.91898323,2.040800516,-5.239282956,-2.529843858,-2.619282956,1.380717044,1.470156142,0.439282956,1.239282956,2.709439098,0.089439098,2.328941293,0.964165611,4.51
431.7,23.2,2.87,0.9785,5.28973341,1.328572384,4.862292213,1.113213999,-5.391394682,-2.260995226,-2.521394682,1.478605318,1.739004774,0.551394682,1.391394682,3.130399456,0.260399456,2.846196191,0.894924855,3.83
440.7,22.7,2.81,1.7447,4.676333971,1.684467284,5.64578746,1.676623422,-5.46404912,-2.455556736,-2.65404912,1.34595088,1.544443264,0.62404912,1.46404912,3.008492384,0.198492384,1.667359151,0.98199886,4.02
446.4,22.4,2.78,1.3747,4.549392778,1.743061797,5.761675441,1.779245843,-5.49534223,-2.519231412,-2.71534223,1.28465777,1.480768588,0.65534223,1.49534223,2.976110818,0.196110818,2.173189828,0.95780121,5.2
441.6,22.6,2.81,1.6908,4.699844623,1.71812697,5.739338624,1.720649833,-5.52935648,-2.490115214,-2.71935648,1.28064352,1.509884786,0.68935648,1.52935648,3.039241266,0.229241266,1.735771348,0.979620196,4.16
465.5,21.5,2.66,1.3064,4.643081637,1.93712291,6.285077455,2.04379939,-5.736435234,-2.758147504,-3.076435234,0.863564766,1.181852496,0.896435234,1.796435234,2.97828773,0.31828773,2.482267272,0.950614438,6.1
460.5,21.7,2.69,1.1884,4.60569317,2.132195656,6.768126078,2.336368194,-5.95793603,-2.87352384,-3.26793603,0.67206397,1.06647616,1.11793603,2.01793603,3.08441219,0.39441219,2.678671901,0.935196271,6.3
479.5,20.9,2.59,0.9851,5.060477342,1.338828948,4.834469386,1.153406073,-5.245269464,-2.32521413,-2.655269464,1.284730536,1.61478587,0.405269464,1.305269464,2.920055334,0.330055334,3.483603687,0.896509616,7.38
444.3,22.5,2.79,1.433,4.595243991,2.135653412,6.773667414,2.343351734,-5.954670662,-2.878421892,-3.164670662,0.775329338,1.061578108,1.114670662,2.014670662,3.07624877,0.28624877,2.066285872,0.96310224,6.75
476.6,21,2.6,1.025,5.036912268,1.387077595,4.957997807,1.219926606,-5.296154782,-2.386167666,-2.696154782,1.243845218,1.553832334,0.456154782,1.356154782,2.909987116,0.309987116,3.316188264,0.905593912,6.65
457.9,21.8,2.71,1.4919,4.659462901,1.844714827,6.053733192,1.90755898,-5.621603126,-2.66127492,-2.911603126,1.028396874,1.27872508,0.781603126,1.681603126,2.960328206,0.250328206,2.114213938,0.967781894,5.49
442.3,22.6,2.8,1.2094,4.622428182,2.157593826,6.837172765,2.371006062,-6.000657928,-2.9116198,-3.200657928,0.739342072,1.0283802,1.160657928,2.060657928,3.089038128,0.289038128,2.426692737,0.938255255,5.34
481.5,20.8,2.58,2.2277,4.349416179,2.00153479,6.361233545,2.188582637,-5.55248617,-2.786991588,-2.97248617,0.96751383,1.153008412,0.71248617,1.61248617,2.765494582,0.185494582,1.555314633,0.994080296,5.7
487.1,20.5,2.55,2.6008,4.139534631,1.982394779,6.249120484,2.19790046,-5.391394682,-2.68304404,-2.841394682,1.098605318,1.25695596,0.551394682,1.451394682,2.708350642,0.158350642,1.371472028,0.997492736,1.3
515.1,19.4,2.41,0.8852,4.167507953,1.822698994,5.854727485,1.957006984,-5.24499735,-2.539367848,-2.83499735,1.10500265,1.400632152,0.40499735,1.30499735,2.705629502,0.295629502,4.499422417,0.869743321,0.69
424.1,23.6,2.92,1.2334,5.399585842,1.541931823,5.461655537,1.381019987,-5.747864022,-2.448209658,-2.827864022,1.112135978,1.491790342,0.907864022,1.807864022,3.299654364,0.379654364,2.182095144,0.941574828,1.64
424.6,23.6,2.92,1.231,5.39022512,1.542529637,5.460891944,1.383004746,-5.739700602,-2.448753886,-2.819700602,1.120299398,1.491246114,0.899700602,1.799700602,3.290946716,0.370946716,2.186349432,0.941251065,1.88
439.1,22.8,2.82,1.296,5.126519417,1.433091608,5.103198616,1.269982745,-5.437381948,-2.304533466,-2.617381948,1.322618052,1.635466534,0.597381948,1.497381948,3.132848482,0.312848482,2.224984231,0.949417534,1.14
439.1,22.8,2.82,1.3281,5.143880292,1.409660082,5.044903372,1.236721992,-5.421599336,-2.272696128,-2.601599336,1.338400664,1.667303872,0.581599336,1.481599336,3.148903208,0.328903208,2.171206658,0.953021408,2.34
440.7,22.7,2.81,1.2591,5.149050458,1.421113821,5.076814424,1.251272169,-5.43819829,-2.294193134,-2.62819829,1.31180171,1.645806866,0.59819829,1.49819829,3.144005156,0.334005156,2.310413399,0.944931912,2.51
441.3,22.7,2.81,1.2974,5.132750828,1.425170438,5.083602803,1.258672804,-5.431667554,-2.296370046,-2.621667554,1.318332446,1.643629954,0.591667554,1.491667554,3.135297508,0.325297508,2.242208656,0.94958033,1.82
461.8,21.7,2.68,0.8065,4.467540878,2.020024213,6.443480259,2.195059201,-5.618065644,-2.948899418,-2.938065644,1.001934356,0.991100582,0.778065644,1.678065644,2.669166226,-0.010833774,3.947096946,0.843865096,7.28
485.8,20.6,2.55,0.6351,4.570454403,1.932023403,6.250917101,2.048483313,-5.5647313,-2.875428638,-3.0147313,0.9252687,1.064571362,0.7247313,1.6247313,2.689302662,0.139302662,5.561924373,0.768313889,6.95
516.2,19.4,2.4,0.4399,4.265523425,2.038438735,6.428539611,2.258405758,-5.422415678,-2.960056092,-3.022415678,0.917584322,0.979943908,0.582415678,1.482415678,2.462359586,0.062359586,9.054077571,0.636838334,7.87
481,20.8,2.58,0.4071,4.631707271,1.837617849,6.02764105,1.901793755,-5.476022136,-2.7891685,-2.896022136,1.043977864,1.1508315,0.636022136,1.536022136,2.686853636,0.106853636,8.510868112,0.608348314,6.67
495.5,20.2,2.5,0.5379,4.362586498,1.891552229,6.087029296,2.024502935,-5.343230504,-2.80005306,-2.843230504,1.096769496,1.13994694,0.503230504,1.403230504,2.543177444,0.043177444,6.829632729,0.71019892,5.1
312.6,32,3.97,2.6092,5.001564656,1.354588802,4.862300248,1.181250541,-5.16472372,-1.909423938,-1.19472372,2.74527628,2.030576062,0.32472372,1.22472372,3.255299782,-0.714700218,0.561040621,0.997540765,8.02
316.5,31.6,3.92,1.8107,4.932747018,1.398915507,4.963612063,1.248643343,-5.161186238,-1.997044646,-1.241186238,2.698813762,1.942955354,0.321186238,1.221186238,3.164141592,-0.755858408,0.829050463,0.984536778,4.51
300.4,33.3,4.13,1.7799,4.803928238,1.377019207,4.872951224,1.235616635,-5.082273178,-1.943166074,-0.952273178,2.987726822,1.996833926,0.242273178,1.142273178,3.139107104,-0.990892896,0.759482135,0.983400309,7.63
312.4,32,3.97,2.1777,4.736988188,1.46735203,5.095012216,1.366519428,-5.137240206,-2.018269538,-1.167240206,2.832759794,1.981730462,0.537240206,1.137240206,3.118970668,-0.851029332,0.67220792,0.993357983,5.8
490.6,20.4,2.53,0.4698,4.500058505,1.946586331,6.267241692,2.081610945,-5.507859474,-2.888217996,-2.977859474,0.962140526,1.051782004,0.667859474,1.567859474,2.619641478,0.089641478,7.667049825,0.660999764,6.33
320.8,31.2,3.87,0.9115,5.063415085,1.39719982,4.991634554,1.230091613,-5.37561207,-2.411746382,-1.50561207,2.43438793,1.528253618,0.53561207,1.43561207,2.963865688,-0.906134312,1.689412767,0.87739731,5.24
354.5,28.2,3.5,1.143,4.693081773,1.367630079,4.820001756,1.237153783,-5.116287428,-2.373106194,-1.616287428,2.323712572,1.566893806,0.276287428,1.176287428,2.743181234,-0.756818766,1.64913871,0.928055102,6.37
386.8,25.9,3.21,1.1377,4.695432022,1.517808442,5.21677394,1.441388831,-5.2518002,-2.343717882,-2.0418002,1.8981998,1.596282118,0.4118002,1.3118002,2.908082318,-0.301917682,1.964148622,0.927171729,6.8
391.5,25.5,3.17,1.5029,4.441846239,1.549152164,5.230791103,1.521048332,-5.085266432,-2.434603958,-1.915266432,2.024733568,1.505396042,0.245266432,1.145266432,2.650662474,-0.519337526,1.533879303,0.968587681,6.39
309.8,32.3,4,1.3384,4.652843183,1.471195757,5.083227071,1.383161355,-5.169621772,-2.369296598,-1.169621772,2.770378228,1.570703402,0.329621772,1.229621772,2.800325174,-1.199674826,1.073521286,0.954122473,7.41
394.1,25.4,3.15,1.1026,4.565799893,1.432577226,4.958950099,1.342083791,-5.066218452,-2.308070948,-1.916218452,2.023781548,1.631929052,0.226218452,1.126218452,2.758147504,-0.391852496,2.107250723,0.921041298,7.7
316.2,31.6,3.92,1.1607,4.504234911,1.438971699,4.959661756,1.359254402,-4.959821878,-2.317322824,-1.039821878,2.900178122,1.622677176,0.119821878,1.019821878,2.642499054,-1.277500946,1.293324436,0.930928323,7.23
440.8,22.7,2.81,1.3292,4.356816865,1.497058877,5.072299669,1.460537948,-4.911113472,-2.484128706,-2.101113472,1.838886528,1.455871294,0.071113472,0.971113472,2.426984766,-0.383015234,2.188565687,0.953140246,4.8
354.4,28.2,3.5,1.3234,4.204565257,1.742259462,5.661128121,1.833480383,-5.246902148,-2.470250892,-1.746902148,2.193097852,1.469749108,0.176902148,1.306902148,2.776651256,-0.723348744,1.424335458,0.952510237,4.5
471.6,21.2,2.63,1.4004,4.14452493,1.848201674,5.91246425,1.998408063,-5.316019104,-2.528483288,-2.686019104,1.253980896,1.411516712,0.246019104,1.376019104,2.787535816,0.157535816,2.381649285,0.960225933,4.3
421.6,23.7,2.94,0.889,3.987316221,1.812576991,5.77532385,1.973398643,-5.079824152,-2.498278634,-2.139824152,1.800175848,1.441721366,0.239824152,1.139824152,2.581545518,-0.358454482,3.001948102,0.870878073,4.98
437.3,22.9,2.83,1.6471,11.51498804,5.86E-13,0.719688589,0.719684916,-5.08172895,-2.666445086,-2.25172895,1.68827105,1.273554914,0.24172895,1.14172895,2.415283864,-0.414716136,1.735444387,0.977462798,5.29
468.9,21.3,2.64,0.912,4.78643185,1.450599498,5.063573415,1.337128557,-5.26132419,-2.437869326,-2.62132419,1.31867581,1.502130674,0.42132419,1.32132419,2.823454864,0.183454864,3.622826932,0.87753838,4.22
444.9,22.5,2.79,1.3148,4.756346652,2.221218504,7.038065174,2.441352175,-6.118755404,-3.069718034,-3.328755404,0.571244596,0.830281966,1.278755404,2.218755404,3.04903737,0.25903737,2.252044154,0.951560461,0.101
332.4,30.1,3.73,0.9448,4.395195555,1.507652436,5.110228109,1.46978108,-5.040367622,-2.450114456,-1.310367622,2.629632378,1.489885544,0.200367622,1.100367622,2.590253166,-1.139746834,1.751171808,0.886446637,8.1
406.5,24.6,3.05,1.2317,4.370836451,1.625381629,5.408652354,1.639228718,-5.15383916,-2.43678087,-2.10383916,1.83616084,1.50321913,0.31383916,1.21383916,2.71705829,-0.33294171,2.011066711,0.941345681,7.5
319.4,31.3,3.88,0.9201,4.412023358,1.524694217,5.159122785,1.491157001,-5.15111802,-2.523585236,-1.27111802,2.66888198,1.416414764,0.31111802,1.21111802,2.627532784,-1.252467216,1.662945158,0.879801237,6.6
440,22.7,2.82,0.9165,5.25651509,1.314916824,4.817381728,1.099349956,-5.352754494,-2.232423256,-2.532754494,1.407245506,1.707576744,0.512754494,1.412754494,3.120331238,0.300331238,3.174076935,0.878800731,5.3
445.5,22.4,2.78,0.9698,5.201038931,1.350477681,4.900038303,1.152002286,-5.354659292,-2.269702874,-2.574659292,1.365340708,1.670297126,0.514659292,1.414659292,3.084956418,0.304956418,3.080515628,0.892798713,4.9
441.1,22.7,2.81,1.1656,11.86418789,2.53E-13,0.741510519,0.741512968,-5.051524296,-2.591069508,-2.241524296,1.698475704,1.348930492,0.211524296,1.111524296,2.460454788,-0.349545212,2.495745977,0.931703256,6.1
